Location,Description,Price,Area,Quartos,Banheiros,Vagas,Type
"Enseada do Suá, Vitória","Highline Square - Torre Soho - Andar alto com vista eterna para o mar. 3 quartos sendo 1 suíte, + 2 quartos com suíte canadense, 4 aparelhos de ar condicionado instalado, sala de jantar, estar, varanda com fechamento, e lavabo. Highline square - Um ícone da arquitetura moderna em Vitória, 3 suítes, 2 vagas soltas, andar alto, frente, sol da manhã, vista para A baía de vitória/ilha do frade. Localizado em um dos bairros mais nobres de Vitória, a Enseada do Suá. Uma área premium, cercada pelos melhores bares, restaurantes, lojas e escolas? E com toda a comodidade dos mais variados serviços de alto padrão. Uma região onde tudo acontece, que atrai cada vez mais empreendimentos residenciais com uma das vistas mais lindas da cidade, a Enseada do Suá é definitivamente o lugar perfeito para se viver. O apartamento está localizado no bairro Enseada do Suá possui 96, 97m², com 03 suites (sala ampliada fácil reversão), todos os ambientes com vista para as Ilhas de Vitória. O ponto importante deste apartamento em especifico é a automação. O Condomínio oferece lazer completo como: academia de ginástica; Ar-condicionado; Brinquedoteca; Centro comercial; Churrasqueira; Espaço gourmet; Piscina adulto coberta; Piscina adulto descoberta; Piscina infantil descoberta; Port cochère; Salão de festas adulto; Sauna; Spa. Agende já sua visita e surpreenda-se!. br. creci: 9579 J - 16/11/2023",R$ 2.150.000,97,3,3,2,apartamento
"Mata da Praia, Vitória","Busca um apartamento pé na areia em um dos bairros mais nobres de Vitória? Achou uma peça rara no mercado! Apartamento 2 quartos com 100m², todo reformado com acabamentos alto padrão e quartzito translúcido, varanda gourmet com churrasqueira e hidromassagem, 1 vaga de garagem. O apartamento está impecável e de muito bom gosto, trazendo aconchego e sofisticação, além de proporcionar pé na areia quando se trata de ter a praia do outro lado da avenida. Condomínio com lazer completo: piscina, sauna, salão de festas, salão gourmet, quadra poliesportiva, churrasqueira, salão de jogos, brinquedoteca, espaço fitness, portaria 24h e 3 elevadores. Agende agora sua visita e surpreenda-se!. br. creci: 9579J - 16/11/2023",R$ 1.450.000,100,2,2,,apartamento
"Jardim Camburi, Vitória","Apartamento de 3 quartos, 1 suite, em Jardim Camburi. 3 quartos. • 2 banheiros. 1 suíte. aproximadamente 104m? , 2 vagas de garagem. Varanda. piso porcelanato. Cozinha separada da área de serviço. • armário nos banheiros e na cozinha.  Valor de venda: R$ 700. 000, 00. iptu: R$ 317, 00. Taxa do condomínio: R$ 538, 00. ** Marque sua visita!",R$ 700.000,110,3,2,2,apartamento
"Praia do Canto, Vitória","Se você busca por um apartamento no miolo da Praia do Canto, andar alto, vista livre e com uma varanda espaçosa, esse é o seu imóvel! - O imóvel possuí 115m²; - Apartamento de Frente; - São 03 quartos, 1 suíte; - 03 banheiros; - Sala ampla; - Apartamento climatizado; - Varanda ampla com fechamento de vidro; - Área de serviço com dependência completa; - 02 vagas de garagem cobertas. Condomínio conta com: Área de lazer com piscina, churrasqueira e salão de festas. Sem dúvidas não ficará disponível por muito tempo, agende uma visita com nossa equipe de vendas! Ref: Ver dados. Entre em contato para mais informações. (Ver dados (com WhatsApp!) Ver dados. Ética, Compromisso e Profissionalismo. Imovi Consultoria Imobiliária - creci 7219-J. br. Apartamento residencial para Venda. Praia do Canto, Vitória. 3 dormitórios sendo 1 suíte, 2 salas, 3 banheiros, 2 vagas. 115, 00 m² útil - 28/09/2023",R$ 1.850.000,115,3,3,2,apartamento
"Mata da Praia, Vitória","Mais uma exclusividade ponte imoveis. Pra você que deseja morar no melhor condomínio clube de Vitoria, essa é uma excelente opção. Apartamento na Mata da Praia de 03 quartos super ventilado na super quadra A com 02 vagas. O prédio conta com piscina, salão de festas e churrasqueira. Entre em contato e agende a sua visita!! Corretor de imóveis, fazemos parceria!!",R$ 1.800.000,118,3,3,2,apartamento
"Jardim da Penha, Vitória","Apartamento amplo com 03 quartos, sendo 01 suíte, localizado a uma quadra do mar de Camburi. Todo reformado, hidráulica e elétrica. Piso em porcelanato imitando madeira. Paredes de banheiros e da cozinha totalmente revestidas. Imóvel com excelente iluminação natural, ventilado e com vista para o mar. Aproximadamente 100 m². 01 vaga de garagem, espaço para 02 carros. Edifício sem elevador, 03 lances de escada. Localizado próximo ao Clube dos Oficiais. Desocupado - Chaves para visita - agendar com antecedência.",R$ 470.000,100,3,2,1,apartamento
"Mata da Praia, Vitória","Apartamento na Quadra mar da Mata da Praia, com vista! Apartamento amplo, são 120m² com planta muito bem distribuída, com 4 quartos, sendo 1 suíte. Apartamento em estado de ""zero"", com armário em todos os cômodos e acabamentos muito bem conservados. É comprar e mudar! Sol da manhã, muito bem ventilado e iluminado. Condomínio com lazer completo e segurança 24h. Unidade com duas vagas de garagem soltas e cobertas. Localizado na quadra do mar. A qualidade de vida que você busca, está aqui. Agende uma visita hoje mesmo! - 25/11/2023",R$ 1.370.000,120,4,3,2,apartamento
"Jardim Camburi, Vitória","Apartamento 03 Quartos C/ Suíte - Jardim Camburi 03 Quartos C/ 1 Suíte 01 Banheiro Social Varanda C/ Fechamento de Vidro Armário nos Quartos, Banheiros, Cozinha Área de Serviço/dce Sol da Manhã total Incluso os Aparelhos de Ar Condicionado 01 Vaga de Garagem coberta Área 115 m2 Condomínio: R$ 400, 00 Taxa Básica Condominial Elevador Sistema de Segurança Eletrônica Medidor Individual de Gás e Água Salão de festa Localização Privilegiada e Valorizada - Próximo à Rua Carlos Martins, Perto do Restaurante Coronel Picanha, comércio, supermercado, escola, farmácia e outros. Investimento R$ 680. 000, 00 Aceita Financiamento e fgts! Analisa Proposta! Agende sua visita! Maiores Informações: Leonardo Araújo Ver dados creci Ver dadosF #jardimdapenha #jardimdapenhaes #jardimdapenhavitoriaes #serraespiritosanto #serraes #moradadelaranjeiras #colinadelaranjeiras #valparaiso #jardimlimoeiro #manguinhos #shoppingvitoria #shoppingmontserrat #shoppingmestrealvaro #jardimlimoeiro #jardimcamburi #vitoria #vitoriaes #vix #jardimcamburies #capixabadagema #jardimcamburioficial #jardimcamburiobairro - Ar Condicionado - Móveis Planejados - Portão Eletrônico - Área de Serviço - Cozinha - Escritório - Bares e Restaurantes - Escola - Farmácia - Shopping Center - Supermercado",R$ 680.000,115,3,1,,apartamento
"Jardim Camburi, Vitória","Jardim camburi. residencial praia de camburi. - 02 quartos sem suíte. - Térreo. - Sol da manhã - Ventilação cruzada top. - Melhor localização dentro condomínio. - Estacionamento para cada unidade. O condomínio usufrui de portaria 24 h, quadra poliesportiva, playground, churrasqueira e salão de festa. Localização bem privilegiada? Próximo à toda infraestrutura que o bairro oferece. valor de venda: R$ 295 mil. ? Condomínio: R$ 400, 00 já incluso o consumo de água e gás - 23/11/2023",R$ 295.000,55,2,1,1,apartamento
"Enseada do Suá, Vitória","Excelente oportunidade no miolo da Enseada do Suá Apartamento alto padrão. porteira fechada. finamente decorado. 4 Quartos transformados em 3 quartos, sendo 3 suítes e 1 suíte master, com banheiro no closet. Possibilidade de reverter os quartos para 4. Sala extremamente ampla com 3 ambientes e com uma vista deslumbrante. frente, com vista eterna para o mar. 4 vagas de garagem cobertas. Mais de 20 opções de lazer contendo Academia de ginastica, Adega e champagnerie, Arvorismo, Bar, Churrasqueira, Deck, Espaco Gourmet, Espaço Zen, Garage band e Danceteria, Pergolado, Piscina adulto descoberta, Piscina adulto coberta, Piscina infantil descoberta, Playground, Quadra de Squash, Salão de Festas adulto, Salão de Festas infantil, Sauna, Teatro e Praça. Apenas 2 unidades por andar. 3 elevadores. Localização privilegiada. Próximo a escolas, supermercados, padarias, bancos e a todas as facilidades do bairro. Agende hoje uma visita com um de nossos corretores! - 20/05/2023",R$ 4.400.000,245,3,4,4,apartamento
"Bento Ferreira, Vitória","More na melhor localizaçao de Bento Ferreira. 2 quartos sendo 1 suíte, Área: unidades com 73 a 80m2, 2 vagas na garagem, Sala de estar e jantar, varanda gourmet, banheiro social, cozinha, área de serviço, Hidrômetro individual e área técnica para instalação de ar condicionado e aquecedor. Lazer: Lazer completo na cobertura, com piscina, hidro, sauna, churrasqueira, salão de festas gourmet e muito mais. *Unidades a partir de R$ 895. 000, 00. poucas unidades. *Previsão de entrega: Abril de 2024. Consulte sempre a disponibilidade do imóvel. Select Casa. . br - 16/11/2023",R$ 895.900,80,2,2,2,apartamento
"Praia do Canto, Vitória","Belíssimo apartamento em Praia do Canto. Possui 3 quartos sendo 1 Suíte, 2 Banheiros e 1 Vaga de Garagem. +/- 97m², Piso Porcelanato. Lazer: Piscina, Churrasqueira, Sauna, Playground, Academia e Espaço para Festa. Possibilidade de venda com Porteira Fechada. R$1. 200. 000, 00. Condomínio: R$815. iptu: R$760. ligue agora mesmo E agende uma visita. 27 Ver dados. 27 Ver dados - 18/10/2022",R$ 1.200.000,97,3,2,1,apartamento
"Jardim da Penha, Vitória","Casamaral Imóveis Vendo Excelente Duplex em Jardim da Penha. O Imóvel é constituído de: - 4 Quartos (sendo uma Suíte) -1 Sala no 1º pavimento. - 1 Sala no 2º pavimento. -Cozinha. - Área de serviço. - 1 Banheiro. - 1 Garagem. Apartamento Duplex espaçoso, com churrasqueira, área gourmet, sol da manhã, excelente localização próximo a todo comercio da região. Escriturado!! Agende sua visita!! Ligue: (27) Ver dados (27) Ver dados ou (27) Ver dados",R$ 860.000,160,4,1,1,apartamento
"Jardim Camburi, Vitória","Apartamento 2 Quartos em Jardim Camburi - Vitoria. Área de serviço com varal, Cozinha com bancada ampla, Sala, Quartos com preparação de ar condicionado de janela, Banheiro social com armário, box vidro temperado e ventilação natural, Primeiro andar de escada, Apartamento arejado e iluminação natural, Piso vinílico, Apartamento foi todo reformado recentemente, 1 Vaga de garagem, Portaria 24 horas, Excelente localização - 23/11/2023",R$ 365.000,55,2,1,1,apartamento
"Enseada do Suá, Vitória",Apartamento no edf Gran Parc Residence Resort Alto Padrao. 180 m2. 03 quartos com suite. 3 vagas de Garagem. Escritorio. Sala ampla. Porteira Fechada. Vista Livre. Sol da manha. Andar alto. Maiores Informaçoes: Select Casa. br - 16/11/2023,R$ 2.499.000,180,3,4,3,apartamento
